(.*)\n(.*)\n(.*)\n(^\s*$)\n(.*)\n(^\s*$)\n\$(.*)
"$1", "$2", "$3", "$5", "$7"
"May 28, 2021", "Shell", "Chequing Account", "Gas & fuel", "5.61"
"May 27, 2021", "Vancity Barbershop Vancouver", "mycredit Mastercard", "Hairdresser", "38.40"
"May 27, 2021", "Fasttest", "Chequing Account", "Shopping", "300.00"
"May 26, 2021", "Fasttest Vancouver", "mycredit Mastercard", "Miscellaneous", "67.50"
"May 26, 2021", "Independent Ren", "Chequing Account", "Food & dining", "94.33"
"May 25, 2021", "Sport Chek", "mycredit Mastercard", "Shopping", "79.38"
"May 25, 2021", "Lift Bar Grill View Vancouver", "mycredit Mastercard", "Restaurants", "27.77"
"May 24, 2021", "Uber Eats", "mycredit Mastercard", "Food & dining", "36.54"
"May 22, 2021", "Uber Eats", "mycredit Mastercard", "Food & dining", "29.32"
"May 21, 2021", "Compass Web", "mycredit Mastercard", "Public transportation", "20.00"
"May 21, 2021", "Compass Web", "mycredit Mastercard", "Public transportation", "20.00"
"May 21, 2021", "Mycredit reward program", "mycredit Mastercard", "Transfer", "+0.20"
"May 21, 2021", "INTERAC e-Transfer", "Chequing Account", "Transfer", "50.40"
"May 21, 2021", "Safeway", "Chequing Account", "Groceries", "48.01"
"May 20, 2021", "Wave", "Chequing Account", "Gifts", "+2,505.69"
"May 19, 2021", "Famous Foods", "Chequing Account", "Food & dining", "52.62"
"May 18, 2021", "Safeway", "Chequing Account", "Groceries", "64.93"
"May 17, 2021", "Sport Chek", "Chequing Account", "Shopping", "15.66"
"May 17, 2021", "Coal Harbour", "Chequing Account", "Miscellaneous", "26.87"
"May 17, 2021", "Coal Harbour Li", "Chequing Account", "Alcohol/bars", "60.41"
"May 14, 2021", "INTERAC e-Transfer service", "Chequing Account", "Fees", "0.00"
"May 14, 2021", "Client card point of sale fee", "Chequing Account", "Fees", "0.00"
"May 14, 2021", "Transaction fees", "Chequing Account", "Fees", "0.00"
"May 14, 2021", "Mahony & Sons", "Chequing Account", "Restaurants", "79.62"
"May 10, 2021", "INTERAC e-Transfer", "Chequing Account", "Transfer", "25.00"
"May 10, 2021", "Sport Chek", "Chequing Account", "Shopping", "203.20"
"May 10, 2021", "Driver Services", "Chequing Account", "Education", "31.00"
"May 7, 2021", "BC Liquor", "Chequing Account", "Alcohol/bars", "12.74"
"May 7, 2021", "Whole Foods Mar", "Chequing Account", "Food & dining", "30.12"
"May 6, 2021", "B Hydro Pap", "Chequing Account", "Gifts and donations", "31.17"
"May 5, 2021", "Wave", "Chequing Account", "Gifts", "+2,295.96"
"May 5, 2021", "Famous Foods", "Chequing Account", "Food & dining", "74.98"
"May 4, 2021", "ABM withdrawal", "Chequing Account", "Cash", "200.00"
"May 4, 2021", "INTERAC e-Transfer", "Chequing Account", "Transfer", "+391.75"
"May 3, 2021", "Coal Harbour Li", "Chequing Account", "Alcohol/bars", "15.96"
"May 3, 2021", "False Creek Fer", "Chequing Account", "Clothing", "7.00"
"May 3, 2021", "Paper Ya", "Chequing Account", "Office supplies", "12.31"
"May 3, 2021", "Cool Emporium", "Chequing Account", "Miscellaneous", "18.45"
"May 3, 2021", "Dragonspace", "Chequing Account", "Shopping", "42.97"
"May 3, 2021", "Off The Tracks", "Chequing Account", "Miscellaneous", "9.02"
"May 3, 2021", "Hon's Wonton Ho", "Chequing Account", "Restaurants", "26.57"
"April 30, 2021", "INTERAC e-Transfer", "Chequing Account", "Transfer", "1,995.00"
"April 29, 2021", "Safeway", "Chequing Account", "Groceries", "45.32"
"April 29, 2021", "INTERAC e-Transfer", "Chequing Account", "Transfer", "+400.00"
"April 29, 2021", "MUJI", "Chequing Account", "Shopping", "14.45"
"April 28, 2021", "Bouchereau Bapt", "Chequing Account", "Charitable donation", "+1,191.58"
"April 27, 2021", "Famous Foods", "Chequing Account", "Food & dining", "6.51"
"April 26, 2021", "Disc. promo offer", "Chequing Account", "Bonus", "+50.00"
"April 26, 2021", "Mobile deposit", "Chequing Account", "Revenue", "+2.00"
